Description	Code
write a program to move numbers to the end of a string	"

str1 = 'hi 123 how are you doing? 567 is with you. Take care of 89'

res = ''
dig = ''


for ele in str1:
	if ele.isdigit():
        dig += ele
	else:
        res += ele

res += dig


print(""Strings after digits at end : "" + str(res))
"
using dictionary comprehension	"input = [{""foo"": ""bar"", ""Hello"": ""World""},
         {""key1"": ""val1"", ""key2"": ""val2""},
         {""sample_key"": ""sample_val""}]
merged_dict = {key: value for d in input for key, value in d.items()}
"
write a python program to print the list having sum of digits	"list1 = [12, 67, 98, 34]
list2 = []
for i in list1:
	sum = 0
	for digit in str(i):
        sum += int(digit)
	list2.append(sum)
print(list2)
"
write a python program to shuffle the items in a list and print it	"from random import shuffle
mylist = [1, 2, 3, 4, 5]
shuffle(mylist)
print(mylist)
"
Write a program to get a list of locally installed Python modules	"import pkg_resources
installed_packages = pkg_resources.working_set
installed_packages_list = sorted([""%s==%s"" % (i.key, i.version)
                                  for i in installed_packages])
for m in installed_packages_list:
	print(m)
"
Count the number of spaces in a sring	"s = ""Count, the number of spaces""
lenx = s.count(' ')
print(f""number of spaces in sring: {lenx}"")
"
Write a function to return the median of numbers in a list	"def cal_median(num_list: list) -> float:
	if num_list:
        if len(num_list) % 2 != 0:
            return sorted(num_list)[int(len(num_list) / 2) - 1]
        else:
            return (sorted(num_list)[
                int(len(num_list) / 2) - 1] + sorted(num_list)[int(len(num_list) / 2)]) / 2
	else:
        return None
"
10 write a python function to remove duplicate from a list.	"def remove_duplicates(dup_list: list):
	print(list(set(dup_list)))
"
write a python function that returns first element of a list	"

def head(lst):
	return lst[0]
"
write a python program to check if a number is positive, negative or 0	"num = float(input(""Enter a number: ""))
if num > 0:
	print(""Positive number"")
elif num == 0:
	print(""Zero"")
else:
	print(""Negative number"")
"
Define a custom exception class which takes a string message as attribute.	"class MyError(Exception):
	def __init__(self, msg):
        self.msg = msg


error = MyError(""something wrong"")
"
write a python function to get the maximum element in a list	"

def max(list):
	return max(list)
"
and prints the comments	"

def bmi(height: ""Meters"", weight: ""Kgs""):
	bmi = weight / (height**2)
	print(""Your BMI is: {0} and you are "".format(bmi), end='')
	if (bmi < 16):
        print(""severely underweight."")
	elif (bmi >= 16 and bmi < 18.5):
        print(""underweight."")
	elif (bmi >= 18.5 and bmi < 25):
        print(""healthy."")
	elif (bmi >= 25 and bmi < 30):
        print(""overweight."")
	elif (bmi >= 30):
        print(""severely overweight."")
"
print it.	"ini_list = [{'a': [1, 2, 3], 'b':[4, 5, 6]},
            {'c': [7, 8, 9], 'd':[10, 11, 12]}]
temp_dict = {}
result = []
for ini_dict in ini_list:
	for key in ini_dict.keys():
        if key in temp_dict:
            temp_dict[key] += ini_dict[key]
        else:
            temp_dict[key] = ini_dict[key]
for key in temp_dict.keys():
	result.append(tuple([key] + temp_dict[key]))
print(""Resultant list of tuples: {}"".format(result))
"
Generate  random String of length 5	"import random
import string


def randomString(stringLength):
	
	letters = string.ascii_letters
	return ''.join(random.choice(letters) for i in range(stringLength))


print(""Random String is "", randomString(5))
"
Write a function that will provide the ascii value of a character	"

def charToASCII(chr):
	return f'ASCII value of {chr} is: {ord(chr)}'
"
word of a given string	"def capitalize_both_ends(x): return x[0].upper() + x[1:-1] + x[-1].upper()


def capitalize_first_and_last(string):
	string = string.strip().split()
	new_string = [capitalize_both_ends(word) for word in string]
	return new_string
"
16 write a program to find Maximum and Minimum K elements in Tuple	"test_tup = (5, 20, 3, 7, 6, 8)
print(""The original tuple is : "" + str(test_tup))
K = 2
test_tup = list(test_tup)
temp = sorted(test_tup)
res = tuple(temp[:K] + temp[-K:])
print(""The extracted values : "" + str(res))
"
write a python function to read a CSV file and print its content	"def read_csv(filename):
	import csv
	with open(filename, newline='') as f:
        reader = csv.reader(f)
        for row in reader:
            print(row)
"
write a python program to give the next fibonacci number	"
num_1, num_2, count = 0, 1, 0


def next_fibbonacci_number():

	nonlocal num_1, num_2, count

	if(count == 0):
        count += 1
        return 0
	elif(count == 1):
        count += 1
        return num_2
	else:
        num_1, num_2 = num_2, num_1 + num_2
        return num_2


return next_fibbonacci_number
"
the sum and average	"
L = [4, 5, 1, 2, 9, 7, 10, 8]

count = 0

for i in L:
	count += i


avg = count / len(L)

print(""sum = "", count)
print(""average = "", avg)
"
write a python program for basic HTML parser	"

class MyHTMLParser(HTMLParser):
	def handle_starttag(self, tag, attrs):
        print(tag)
        for attr in attrs:
            print(""->"", attr[0], "">"", attr[1])


parser = MyHTMLParser()


for i in range(int(input())):
	parser.feed(input())
"
write a python function to Count Set Bits in a Number	"def count_set_bits(n):
	count = 0
	while n:
        n &= n - 1
        count += 1
	return count
"
Driver Code	"tup = [('for', 24), ('is', 10), ('to', 28),
       ('goal', 1), ('portal', 20), ('a', 15)]

Sort_Tuple(tup)
"
the sum	"def add_two_numbers(num1, num2):
	sum = num1 + num2
	return sum
"
write a  python program to check and print if a string is palindrome or not	"st = 'malayalam'
j = -1
flag = 0
for i in st:
	if i != st[j]:
        j = j - 1
        flag = 1
        break
	j = j - 1
if flag == 1:
	print(""Not a palindrome"")
else:
	print(""It is a palindrome"")
"
11 write a function to reverse every word in a string	"def reverse_word(sen: str):
	words = sen.split(' ')
	rever_word = [i[::-1] for i in words]
	final_sen = ' '.join(rever_word)
	print(final_sen)
"
initializing K	"K = 2


for i in test_list:
	if len(i) == K:
        list1.remove(i)
print(list1)
"
"For example, the string ""AAAABBBCCDAAA"" would be encoded as ""4A3B2C1D3A"""	"def encode_string(str1):
	encoded = """"
	ctr = 1
	last_char = str1[0]

	for i in range(1, len(str1)):

        if last_char == str1[i]:
            ctr += 1

        else:
            encoded += str(ctr) + last_char
            ctr = 0
            last_char = str1[i]
            ctr += 1
	encoded += str(ctr) + last_char
	return encoded
"
14 write program to extract digits from Tuple list	"test_list = [(15, 3), (3, 9), (1, 10), (99, 2)]
print(""The original list is : "" + str(test_list))
temp = map(lambda ele: str(ele), chain.from_iterable(test_list))
res = set()
for sub in temp:
	for ele in sub:
        res.add(ele)
print(""The extrated digits : "" + str(res))
"
Write a function to return the surface area of a hemi-sphere	"def cal_area_hemisphere(radius):
	pi = 3.14
	return 2 * pi * (radius**2)
"
12 write a python program to find decreasing point in a list and print them	"test_list = [3, 6, 8, 9, 12, 5, 18, 1]

res = -1
for idx in range(0, len(test_list) - 1):

	if test_list[idx + 1] < test_list[idx]:
        res = idx
        break

print(""Decreasing Point : "" + str(res))
"
!touch abc.txt	"file = open(""abc.txt"", ""r"")
Counter = 0
Content = file.read()
CoList = Content.split(""\n"")
for i in CoList:
	if i:
        Counter += 1
print(f""There are {Counter} number of lines in the file"")
"
print in reverse order with a space	"

first_name = input(""Enter your first name: "")
last_name = input(""Enter your last name: "")
print(last_name.strip() + "" "" + first_name.strip())
"
28 write a program to check whether a given string is Heterogram or not	"

def heterogram(input):

	alphabets = [
        ch for ch in input if (
            ord(ch) >= ord('a') and ord(ch) <= ord('z'))]

	if len(set(alphabets)) == len(alphabets):
        print('Yes')
	else:
        print('No')
"
function. The list is: [1,2,3,4,5,6,7,8,9,10].	"li = [1, 2, 3, 4, 5, 6, 7, 8, 9, 10]
evenNumbers = filter(lambda x: x % 2 == 0, li)
print(evenNumbers)
"
pseudo-random data	"def get_cryptographically_secure_data(n=101):
	return secrets.token_bytes(n), secrets.token_hex(n)
"
row) as input from the user and print the output.	"

size = int(input(""Input the size of the matrix: ""))
matrix = [[0] * size for row in range(0, size)]
for x in range(0, size):

	line = list(map(int, input().split()))

	for y in range(0, size):
        matrix[x][y] = line[y]


matrix_sum_diagonal = sum(matrix[size - i - 1][size - i - 1]
                          for i in range(size))
"
Write a Python function to calculate dot product of two given sequence	"

def dot_product(a, b):
	return sum(e[0] * e[1] for e in zip(a, b))
"
number and its cube in each tuple	"
list1 = [1, 2, 5, 6]

res = [(val, pow(val, 3)) for val in list1]

print(res)
"
Write a function to Get Kth Column of Matrix	"def kth_column(test_list=[[4, 5, 6], [8, 1, 10], [7, 12, 5]], k=2):

	print(""The original list is : "" + str(test_list))
	K = k
	res = list(zip(*test_list))[K]
	print(""The Kth column of matrix is : "" + str(res))
"
month, year from a date	"import datetime


def get_attributes_from_date(date_string, *args):
	if(isinstance(date_string, datetime.datetime) == False):
        print(""Input string is not a valid datetime type"")
        raise TypeError
	get_attrs = [i for i in dir(date_string) if not callable(i)]
	arg_list = []
	for attr in args:
        if(attr not in get_attrs):
            print(""Invalid argument passed"", attr)
            raise AttributeError
        print(attr, ':', getattr(date_string, attr))
        arg_list.append((attr, getattr(date_string, attr)))
	return arg_list
"
Write a function that will convert a string into camelCase	"

from re import sub


def camelCase(string):
	string = sub(r""(_|-)+"", "" "", string).title().replace("" "", """")
	return string[0].lower() + string[1:]
"
Write a Python function to return Fermat's Sequence	"def fermat_seq(n):
	if n >= 0:
        return 2 ** (2**n) + 1
"
list of dictionaries Using zip() + map() + values()	"

test_list = [{'gfg': 1, 'best': 2}, {'gfg': 4, 'best': 5}]


print(""The original list : "" + str(test_list))


res = list(zip(*map(dict.values, test_list)))

print(""Segregated values of keys are : "" + str(res))
"
write a program for round for integers	"integer = 18
print(f""Round off value : {round(integer , -1)}"")
"
write a python function to convert an angle from radians to degrees.	"

def rads_to_degrees(rad):
	return (rad * 180.0) / 3.14
"
write a python function to return the dot product of two vectors	"def dotproduct(vec1, vec2):
	return sum(map(operator.mul, vec1, vec2))
"
write a python function to return words in a sentence in sorted order	"def get_sorted_words(sentence):
	words = [word for word in sentence.split()]
	words.sort()
	return words
"
Python	"from datetime import datetime, timedelta
given_date = datetime(2020, 2, 25)
days_to_subtract = 7
res_date = given_date - timedelta(days=days_to_subtract)
print(res_date)
"
write a function to accept input as feet and inches into centimeters	"def height_into_cms(feet, inches):
	ininches = feet * 12 + inches
	return ininches * 2.54
"
Write a Python function to find the maximum EVEN number from a given list	"def even_max_checker(list1):
	maxnum = 0
	for num in list1:
        if num % 2 == 0:
            if num > maxnum:
                maxnum = num
	return maxnum
"
and print the letters in descending order of frequency.	"word = input()
dct = {}
for i in word:
	dct[i] = dct.get(i, 0) + 1


dct = sorted(dct.items(), key=lambda x: (-x[1], x[0]))
for i in dct:
	print(i[0], i[1])
"
Write a python function to generate a random hexadecimal key of length n	"import random


def rand_run_name(n):
	ran = random.randrange(10**80)
	myhex = ""%064x"" % ran
	
	myhex = myhex[:n]
	return myhex
"
write a python code to implement Sigmoid function	"

def sigmoid(x):
	return 1 / (1 + math.exp(-x))
"
Write a python program to print the combination of tuples in list of tuples	"
test_list = [([1, 2, 3], 'gfg'), ([5, 4, 3], 'cs')]

res = [(tup1, tup2) for i, tup2 in test_list for tup1 in i]


print(""The list tuple combination : "" + str(res))
"
diagonal measure is given	"
def CubeVolume(d):
	Volume = (1.73205 * pow(d, 3)) / 9
	return Volume
"
Breakable Buffalo on Aug 09 2020 Donate	"def is_camel_case(s):
	return s != s.lower() and s != s.upper() and ""_"" not in s
"
and guess it within 3 guesses	"print(""Please guess a number between 1 and 5 and I will guess within 3 chances!"")
guess1 = input(""Is it <= 3? enter y/n \n"")
if guess1 == ""y"":
	guess2 = input(""Is it <= 2? enter y/n \n"")
	if guess2 == ""y"":
        guess3 = input(""Is it 1? enter y/n \n"")
        if guess3 == ""y"":
            print(""Yay! found the number, its 1"")
        else:
            print(""Yay! found the number, its 2"")
	else:
        print(""Yay! found the number, its 3"")
else:
	guess2 = input(""Is it 4? enter y/n \n"")
	if guess2 == ""y"":
        print(""Yay! found the number, its 4"")
	else:
        print(""Yay! found the number, its 5"")
"
